index,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
44856422,58:01.0,13,2014-08-22 14:58:01 UTC,-73.9936,40.74981,-73.9925,40.75655,2
21993993,27:00.0,6,2014-05-05 19:27:00 UTC,0,0,0,0,1
3045866,16:00.0,5.5,2013-01-02 19:16:00 UTC,-73.9682,40.76211,-73.9797,40.76543,1
23460451,35:00.0,15.5,2012-12-22 15:35:00 UTC,-73.9899,40.73399,-73.9583,40.7808,1
53705359,19:55.0,8.5,2015-02-16 11:19:55 UTC,-73.9977,40.73622,-73.9818,40.76135,2
45517946,56:22.0,7.5,2013-02-01 20:56:22 UTC,-73.9979,40.75622,-73.9815,40.74239,1
9514003,23:00.0,6.9,2009-05-20 10:23:00 UTC,-73.9495,40.77335,-73.965,40.76659,5
53475676,56:39.0,21,2015-05-17 14:56:39 UTC,-73.9543,40.7697,-73.9901,40.75744,1
28370429,10:44.0,4.1,2012-06-28 20:10:44 UTC,-73.9946,40.72101,-73.9891,40.72296,2
48832443,43:00.0,5.7,2011-12-10 01:43:00 UTC,-73.991,40.72757,-73.9914,40.74472,1
11835345,31:02.0,19.3,2009-03-11 09:31:02 UTC,-74.0132,40.70415,-73.9843,40.75496,1
41669619,25:12.0,17.3,2010-12-11 04:25:12 UTC,-73.9957,40.7672,-73.9512,40.72392,4
50958489,19:00.0,12,2014-04-15 09:19:00 UTC,-74.0101,40.71972,-74.0136,40.70232,1
39891441,21:06.0,11.3,2012-04-05 20:21:06 UTC,-73.9815,40.76833,-73.9561,40.80476,1
21255889,11:00.0,9.7,2010-04-25 20:11:00 UTC,-73.9498,40.79604,-73.9627,40.75911,3
45550385,12:40.0,4.9,2012-05-02 19:12:40 UTC,-73.987,40.7208,-73.9766,40.72286,1
29152955,31:03.0,11,2015-05-28 13:31:03 UTC,-73.9667,40.80404,-73.9384,40.79727,1
26348645,35:16.0,3.5,2015-05-21 01:35:16 UTC,-73.9753,40.75249,-73.9739,40.74889,2
781560,35:45.0,26.1,2012-06-24 01:35:45 UTC,-73.9761,40.74421,-73.905,40.87669,2
9404760,23:00.0,8.1,2010-10-16 21:23:00 UTC,-73.9825,40.73165,-73.9549,40.76879,5
25485719,43:07.0,49.57,2009-08-07 10:43:07 UTC,-73.9751,40.78882,-73.9751,40.78882,1
11536406,16:01.0,7.7,2010-09-08 10:16:01 UTC,-73.9874,40.72126,-73.9547,40.73068,1
19137375,10:00.0,5.3,2012-04-05 18:10:00 UTC,-73.9715,40.76014,-73.9614,40.76898,1
11267091,15:00.0,4.5,2010-09-22 12:15:00 UTC,-73.9819,40.76117,-74.0162,40.70477,1
30869427,24:00.0,7.3,2010-01-23 03:24:00 UTC,-74.0083,40.72595,-73.9882,40.72032,1
226870,49:00.0,6.5,2013-02-15 18:49:00 UTC,-73.9926,40.73396,-73.9807,40.74214,1
46728985,48:00.0,5.3,2012-08-12 18:48:00 UTC,-73.9865,40.75505,-73.9961,40.74482,3
10442368,07:38.0,9.3,2010-03-12 12:07:38 UTC,-73.9577,40.76556,-73.9701,40.76276,1
1454546,07:00.0,6.1,2011-12-02 14:07:00 UTC,0,0,0,0,1
51116974,49:40.0,3.7,2009-04-14 11:49:40 UTC,-73.9765,40.74408,-73.9837,40.7342,1
46652271,02:13.0,4,2014-04-27 13:02:13 UTC,-73.9506,40.78645,-73.9575,40.77669,1
25431833,47:47.0,9.5,2015-04-11 08:47:47 UTC,-73.9784,40.7524,-74.0004,40.74212,1
44792012,29:00.0,4.5,2011-10-03 20:29:00 UTC,-73.9901,40.75641,-73.983,40.75673,3
18571020,12:44.0,3.3,2010-04-26 03:12:44 UTC,-73.9823,40.73131,-73.9896,40.7344,1
37942404,51:00.0,30.9,2011-11-18 09:51:00 UTC,-73.9959,40.75908,-73.865,40.77045,1
29024472,03:55.0,26.9,2009-08-30 14:03:55 UTC,-73.9901,40.75601,-73.9294,40.77455,1
29350780,02:00.0,9,2014-02-19 18:02:00 UTC,-73.9583,40.7689,-73.9735,40.78291,5
30977645,01:58.0,4.1,2011-02-20 21:01:58 UTC,-73.9776,40.75317,-73.9816,40.75736,1
7290820,48:00.0,14.9,2011-02-04 11:48:00 UTC,-73.9622,40.64022,-73.968,40.64051,1
47729464,29:00.0,6.5,2009-07-31 09:29:00 UTC,-74.0005,40.73746,-74.0095,40.71322,5
46435788,58:16.0,43,2015-05-15 18:58:16 UTC,-73.8627,40.76896,-73.9991,40.74183,2
7215780,12:00.0,8,2012-12-04 22:12:00 UTC,-73.9845,40.74279,-73.9774,40.76138,5
40831100,38:11.0,6,2015-04-21 01:38:11 UTC,-73.9502,40.7193,-73.9405,40.72421,1
31282042,26:00.0,4,2013-05-03 18:26:00 UTC,-73.9888,40.75869,-73.9851,40.77377,1
20318457,29:00.0,3.7,2010-03-30 21:29:00 UTC,-73.9842,40.73201,-73.9794,40.72762,5
21080437,34:45.0,10.1,2012-03-07 17:34:45 UTC,-73.9927,40.76832,-74.0023,40.74686,2
5838487,04:27.0,18,2015-01-30 22:04:27 UTC,-73.9547,40.68747,-73.9882,40.73051,1
52854856,22:03.0,5.7,2009-02-04 18:22:03 UTC,-73.9884,40.73718,-73.981,40.74733,1
21689516,18:00.0,6.5,2012-06-10 15:18:00 UTC,-73.9642,40.7573,-73.9834,40.74384,1
40522164,06:32.0,35.3,2009-05-15 21:06:32 UTC,-73.7767,40.64537,-73.9134,40.74594,1
2111231,49:00.0,6.1,2012-07-19 17:49:00 UTC,-73.9979,40.7359,-74.0065,40.74625,5
38160009,23:00.0,4.9,2011-06-19 18:23:00 UTC,-73.9858,40.75325,-73.9814,40.74651,1
10540899,06:41.0,6.1,2011-07-22 22:06:41 UTC,-73.9956,40.75478,-74.0025,40.7344,1
10601778,56:00.0,10,2013-02-25 15:56:00 UTC,-73.976,40.76004,-73.9829,40.74504,1
26536581,25:59.0,10.5,2014-06-15 15:25:59 UTC,-73.9886,40.77845,-73.9949,40.74995,1
52914369,17:58.0,8.9,2012-04-25 18:17:58 UTC,-73.998,40.7205,-74.0018,40.7378,1
17358122,39:48.0,6.5,2010-08-20 19:39:48 UTC,0,0,0,0,1
55198695,03:00.0,13,2013-03-28 14:03:00 UTC,-74.0064,40.74966,-73.9785,40.7539,5
9147772,20:00.0,6.9,2012-01-25 00:20:00 UTC,-73.9903,40.73712,-73.9763,40.74496,1
14653045,27:00.0,9.7,2009-11-02 09:27:00 UTC,-73.9826,40.77184,-73.9789,40.75432,2
48128338,47:00.0,10.1,2009-09-12 01:47:00 UTC,-73.9803,40.76525,-73.9743,40.73193,2
40598638,15:14.0,9.7,2011-07-06 17:15:14 UTC,-73.9548,40.76729,-73.9748,40.75489,1
8791172,38:00.0,5.3,2010-09-21 12:38:00 UTC,-73.9562,40.78159,-73.9661,40.77365,1
14280426,47:15.0,5.7,2010-01-14 06:47:15 UTC,-73.9912,40.75034,-73.9778,40.75239,1
26009783,48:48.0,7.5,2014-11-10 05:48:48 UTC,-73.9751,40.73302,-73.9771,40.75206,1
30203807,28:00.0,10.5,2010-09-10 16:28:00 UTC,-73.9956,40.7493,-73.9651,40.77161,1
38938355,13:00.0,6.1,2010-11-24 18:13:00 UTC,-73.9855,40.76063,-73.9892,40.77445,1
31583447,40:32.0,6.5,2015-04-04 22:40:32 UTC,-74.003,40.73113,-74.0054,40.74004,1
1988725,51:00.0,7.7,2009-01-04 13:51:00 UTC,-73.9625,40.76308,-73.9847,40.73634,1
40863188,43:00.0,6.9,2010-03-20 15:43:00 UTC,0,0,0,0,2
37286529,13:20.0,6.1,2010-09-22 00:13:20 UTC,-74.0016,40.736,-73.9866,40.74737,2
13917019,29:00.0,8.9,2009-06-02 00:29:00 UTC,-74.0081,40.71155,-73.9972,40.67959,1
53369902,30:00.0,9,2013-08-18 01:30:00 UTC,-73.9782,40.74563,-73.952,40.77319,2
42367206,15:52.0,15,2014-09-23 00:15:52 UTC,-73.9941,40.75092,-73.9494,40.78134,1
34326211,56:18.0,15,2015-01-14 21:56:18 UTC,-73.9886,40.74913,-73.9564,40.74752,4
17436771,52:00.0,12.9,2009-09-03 14:52:00 UTC,-74.0107,40.71099,-73.9911,40.75072,1
33481580,40:00.0,7.5,2014-04-21 20:40:00 UTC,-73.9765,40.78821,-73.9546,40.77784,1
27401654,31:59.0,9.5,2015-04-06 19:31:59 UTC,-74.0066,40.74441,-73.9864,40.74319,2
29572239,05:30.0,5.3,2011-09-13 12:05:30 UTC,-73.9657,40.75438,-73.9672,40.76507,1
10381393,21:15.0,8,2015-02-10 15:21:15 UTC,-73.9944,40.74668,-73.9777,40.73912,1
27114350,47:00.0,11.3,2009-12-01 11:47:00 UTC,-73.9444,40.77814,-73.9805,40.7823,3
26097408,54:20.0,38.54,2015-06-16 09:54:20 UTC,-73.8628,40.76879,-73.9787,40.75304,6
23831436,58:06.0,6.1,2009-09-04 10:58:06 UTC,-73.9689,40.78575,-73.9631,40.7742,1
11373696,24:04.0,18,2015-02-13 23:24:04 UTC,-73.981,40.75873,-73.955,40.73442,2
36637366,38:38.0,6,2015-04-04 11:38:38 UTC,-73.988,40.74938,-73.9888,40.75852,1
24780231,10:00.0,12.5,2013-05-10 15:10:00 UTC,-73.9914,40.70255,-73.9997,40.73441,1
20784752,10:05.0,16.5,2010-04-13 00:10:05 UTC,-73.9872,40.75076,-73.9024,40.74164,1
30446427,17:55.0,5.5,2013-01-30 14:17:55 UTC,-73.975,40.76281,-73.9814,40.7561,1
30087952,19:31.0,13.7,2011-10-19 10:19:31 UTC,-73.993,40.75451,-73.9991,40.72258,1
43372207,45:00.0,8.9,2010-11-15 18:45:00 UTC,-74.0066,40.70411,-74.01,40.73501,1
9127290,50:51.0,4,2015-02-10 05:50:51 UTC,-73.9466,40.77678,-73.9535,40.77991,5
30246428,57:00.0,4.9,2010-05-24 17:57:00 UTC,-73.9765,40.78074,-73.9803,40.77067,2
31449635,13:38.0,4.9,2010-06-01 14:13:38 UTC,-73.9687,40.75481,-73.9786,40.75603,1
31451546,52:17.0,8.5,2012-09-19 13:52:17 UTC,-73.9585,40.78073,-73.9754,40.77702,2
19725860,17:48.0,3.7,2011-02-14 10:17:48 UTC,-73.9804,40.78034,-73.98,40.78556,1
5154278,52:00.0,6.5,2014-06-24 09:52:00 UTC,-74.0151,40.7158,-74.0085,40.72814,5
17180598,54:13.0,4.9,2009-09-08 20:54:13 UTC,-73.9765,40.73599,-73.9816,40.72882,1
13392014,39:00.0,9.3,2012-01-12 16:39:00 UTC,-73.9543,40.7641,-73.9734,40.78271,1
19277580,13:00.0,29,2012-10-16 13:13:00 UTC,-73.8709,40.7738,-73.9817,40.76746,1
38125478,26:41.0,6.5,2010-01-29 19:26:41 UTC,-73.9851,40.77895,-73.9806,40.76569,1
5461708,46:01.0,8.2,2009-01-26 20:46:01 UTC,-73.9835,40.76583,-73.9614,40.76887,1
7751113,38:11.0,11,2013-05-30 20:38:11 UTC,-73.9885,40.75391,-73.9899,40.72624,3
54642873,01:18.0,4.5,2014-01-22 21:01:18 UTC,-73.9929,40.75778,-73.9929,40.75778,1
27506709,24:00.0,4.5,2013-06-08 07:24:00 UTC,-73.9927,40.75309,-73.9868,40.76158,5
51756123,10:00.0,9,2014-04-19 02:10:00 UTC,-73.9972,40.76367,-74.0106,40.73002,3
17269533,38:00.0,14.5,2010-07-14 17:38:00 UTC,0.001782,0.00738,0.000875,0.00567,1
54793835,28:00.0,5,2013-10-14 20:28:00 UTC,-73.9727,40.79832,-73.9613,40.80646,1
8293300,43:49.0,7.3,2012-06-26 08:43:49 UTC,-73.9894,40.75228,-73.9728,40.74995,1
5009370,30:00.0,9.5,2015-02-26 02:30:00 UTC,-73.984,40.72166,-74.0107,40.71681,1
36309121,55:20.0,7.5,2015-02-18 01:55:20 UTC,-74.0041,40.7424,-73.9844,40.74317,1
20868327,25:33.0,7.7,2010-11-13 00:25:33 UTC,-73.9744,40.76402,-73.9836,40.74418,2
32588688,57:00.0,9.7,2009-05-26 21:57:00 UTC,-74.0079,40.73873,-73.9775,40.76173,1
38184582,54:02.0,15,2015-01-16 19:54:02 UTC,-74.0021,40.75184,-73.9917,40.72646,1
17545146,16:45.0,8,2013-05-16 22:16:45 UTC,-73.9958,40.75915,-73.9914,40.75023,3
8052480,29:00.0,13.7,2010-10-06 19:29:00 UTC,-73.9856,40.76302,-74.0098,40.71941,5
5214708,39:47.0,6,2015-01-10 12:39:47 UTC,-73.9821,40.75582,-73.9708,40.75575,1
53047121,30:00.0,7.7,2011-06-17 21:30:00 UTC,-73.9771,40.78965,-73.9541,40.77378,5
29154546,56:00.0,10.5,2011-09-14 20:56:00 UTC,-73.9814,40.75881,-73.9475,40.77931,1
51762242,53:09.0,22,2013-01-30 18:53:09 UTC,-73.9834,40.74428,-73.974,40.79545,1
31785067,14:00.0,7.5,2014-03-25 20:14:00 UTC,-73.9729,40.76444,-73.9884,40.76914,1
17010919,43:28.0,11.5,2015-02-25 19:43:28 UTC,-73.97,40.78918,-73.9462,40.77773,5
3653533,16:00.0,4.5,2012-03-02 20:16:00 UTC,-73.9861,40.76343,-73.9775,40.76501,5
32235333,41:00.0,8.1,2011-05-05 20:41:00 UTC,-73.9649,40.77528,-73.9757,40.7917,1
17711691,01:00.0,14.5,2012-01-25 10:01:00 UTC,-73.9543,40.7665,-73.9897,40.73685,1
2415914,42:10.0,18,2012-11-17 23:42:10 UTC,-73.9653,40.80635,-73.9764,40.75062,1
30864447,17:00.0,8.1,2010-09-10 01:17:00 UTC,-73.9826,40.72737,-73.9532,40.77755,1
29942923,21:49.0,4.5,2011-09-13 13:21:49 UTC,-73.995,40.74463,-74.0002,40.7352,1
41777976,06:00.0,3.3,2011-10-08 20:06:00 UTC,-74.0011,40.74174,-73.9983,40.7451,3
13293785,54:45.0,19.7,2012-05-13 13:54:45 UTC,-73.9634,40.79847,-74.0008,40.72935,1
49798166,17:00.0,8.1,2012-04-14 02:17:00 UTC,-73.9818,40.7634,-74.0042,40.74244,1
39400897,14:00.0,6.5,2010-09-24 12:14:00 UTC,-73.9725,40.75278,-73.9589,40.7639,3
49202586,00:00.0,14.5,2014-05-28 01:00:00 UTC,-74.0055,40.73858,-73.9727,40.75674,5
51452192,32:00.0,24,2009-05-12 10:32:00 UTC,-73.9816,40.78375,-73.9009,40.89337,1
45317989,53:18.0,10.5,2012-08-07 20:53:18 UTC,-73.9659,40.80536,-73.9499,40.77887,1
41858701,21:42.0,8.9,2009-09-24 16:21:42 UTC,-73.9521,40.79012,-73.9636,40.79809,1
13472186,01:40.0,14.1,2011-04-03 00:01:40 UTC,-74.0002,40.71834,-73.9568,40.76475,1
12508194,14:24.0,6.1,2012-03-22 07:14:24 UTC,-73.965,40.76431,-73.9811,40.76089,1
928784,14:49.0,7.3,2011-04-22 10:14:49 UTC,-73.9848,40.73651,-73.9767,40.75175,1
17076715,24:52.0,23,2012-11-14 21:24:52 UTC,-73.8631,40.76921,-73.952,40.72938,1
17424218,23:00.0,5.3,2009-11-16 21:23:00 UTC,-74.0092,40.70638,-74.0092,40.71676,1
6403066,21:00.0,45,2010-11-13 07:21:00 UTC,-73.9717,40.75781,-73.7893,40.64179,1
44645532,32:42.0,20.1,2011-06-08 04:32:42 UTC,-73.9902,40.75656,-73.9233,40.82548,2
416416,30:04.0,5.7,2011-11-04 01:30:04 UTC,-74.0016,40.73935,-74.0081,40.7239,1
49651743,06:00.0,3.7,2009-03-24 23:06:00 UTC,-73.9743,40.76119,-73.9719,40.75964,5
11719767,36:50.0,5.5,2013-09-03 07:36:50 UTC,-73.9857,40.74875,-73.9744,40.74414,1
13246898,25:39.0,6.1,2010-05-15 19:25:39 UTC,-73.9788,40.75552,-73.9758,40.76546,1
20519721,21:00.0,8.5,2011-01-16 00:21:00 UTC,-73.9598,40.77714,-73.9665,40.80424,1
34023783,15:00.0,4.1,2010-05-26 16:15:00 UTC,-73.9594,40.77461,-73.9526,40.78021,5
38970654,29:32.0,8,2015-05-01 17:29:32 UTC,-73.9921,40.75921,-73.9841,40.78046,1
40845743,38:40.0,9.5,2013-09-21 18:38:40 UTC,-73.9956,40.6952,-73.9747,40.68774,1
17781331,07:37.0,17.5,2009-02-17 18:07:37 UTC,-73.9741,40.75056,-73.8824,40.7558,1
23083708,55:08.0,4.1,2009-05-11 19:55:08 UTC,-73.9591,40.79948,-73.9674,40.80203,1
16496513,37:09.0,15.7,2011-06-07 22:37:09 UTC,-73.9773,40.7519,-74.0125,40.7015,1
1573188,41:33.0,5.3,2009-05-31 05:41:33 UTC,-73.9343,40.79741,-73.9179,40.80701,1
49180723,34:22.0,9.7,2010-06-16 19:34:22 UTC,-74.0125,40.70782,-73.9875,40.74476,2
52842120,56:00.0,8.9,2012-03-03 21:56:00 UTC,-74.0074,40.73326,-73.9872,40.72939,4
55118441,45:00.0,9.5,2013-12-19 14:45:00 UTC,-73.9781,40.78845,-73.9794,40.77133,1
51449542,58:00.0,29.5,2014-01-21 14:58:00 UTC,-73.9912,40.7502,-74.0068,40.70593,3
11242259,53:08.0,18,2015-04-07 21:53:08 UTC,-73.9968,40.73599,-73.9678,40.79392,1
44829723,50:27.0,23.7,2009-08-05 09:50:27 UTC,-73.9532,40.78759,-74.0147,40.70989,1
31509903,32:00.0,6,2014-03-19 10:32:00 UTC,-73.9934,40.73332,-73.9955,40.74099,1
12636677,25:00.0,24,2014-04-13 12:25:00 UTC,-73.9783,40.76347,-73.9648,40.80675,1
24085207,04:36.0,49.8,2012-07-29 17:04:36 UTC,-73.9921,40.74858,-73.8061,40.66527,1
3778526,10:14.0,3.7,2009-03-01 09:10:14 UTC,-73.9834,40.74682,-73.9885,40.73988,1
54928616,07:00.0,4.9,2012-06-02 22:07:00 UTC,-73.9824,40.77548,-73.9888,40.76371,1
1842891,47:00.0,7.7,2011-12-09 21:47:00 UTC,-73.9731,40.76415,-73.9871,40.74832,1
38589960,48:00.0,7.3,2009-02-18 08:48:00 UTC,-73.9932,40.74967,-74.0077,40.73112,5
14190887,04:14.0,4.1,2011-10-11 22:04:14 UTC,-73.9622,40.77636,-73.9718,40.76576,1
42307589,24:00.0,7,2014-08-20 22:24:00 UTC,-73.972,40.75652,-73.986,40.75225,2
1032411,22:52.0,9.7,2011-11-15 21:22:52 UTC,-73.9896,40.73563,-73.9856,40.76312,1
7083160,56:00.0,4.5,2012-02-02 13:56:00 UTC,-73.9924,40.72883,-73.9881,40.73502,1
12487121,12:06.0,12.5,2015-05-07 08:12:06 UTC,-73.9802,40.73518,-74.0109,40.7018,1
7891124,43:30.0,7.3,2012-03-03 21:43:30 UTC,-73.9682,40.80022,-73.9571,40.78602,1
45863790,28:00.0,4.1,2011-06-17 12:28:00 UTC,0,0,0,0,5
47390654,39:00.0,4,2012-10-09 18:39:00 UTC,-73.935,40.80099,-73.941,40.79838,5
38076415,02:47.0,7.7,2011-01-25 16:02:47 UTC,-73.9755,40.75789,-73.9609,40.77499,1
12938380,51:00.0,12.9,2011-01-14 19:51:00 UTC,-73.9925,40.72877,-73.9608,40.7782,1
3885476,31:00.0,8,2013-11-10 06:31:00 UTC,-73.9752,40.7577,-73.9946,40.75023,2
41458016,05:43.0,6.5,2012-08-12 14:05:43 UTC,-73.9992,40.7394,-73.9884,40.74376,1
30433608,23:24.0,11.5,2015-01-31 21:23:24 UTC,-73.9707,40.75807,-74.0041,40.74281,1
50164779,04:15.0,7.3,2009-03-07 14:04:15 UTC,-73.9616,40.77709,-73.9641,40.79977,1
34207430,52:00.0,7.3,2010-03-31 06:52:00 UTC,-73.9928,40.73717,-73.9707,40.75622,5
271308,29:00.0,14.1,2010-06-08 15:29:00 UTC,-73.9826,40.77275,-74.0048,40.72955,1
53004426,54:10.0,4.5,2012-06-10 21:54:10 UTC,-73.9772,40.79011,-73.9815,40.78124,1
18285176,10:47.0,5.5,2014-10-04 19:10:47 UTC,-73.9689,40.76428,-73.9782,40.75965,2
41862524,02:00.0,8.9,2009-08-06 21:02:00 UTC,-73.9878,40.7386,-73.9648,40.77018,1
1834255,01:08.0,15,2013-03-05 22:01:08 UTC,-73.9656,40.762,-73.9645,40.79263,2
6149840,15:11.0,4.1,2012-04-03 12:15:11 UTC,-73.9835,40.75218,-73.9797,40.74455,1
47000984,28:28.0,10.5,2015-03-10 15:28:28 UTC,-73.9812,40.75288,-73.9953,40.72618,6
41603814,12:03.0,8.5,2012-09-12 11:12:03 UTC,-73.9682,40.79208,-73.9545,40.77897,1
30703037,31:00.0,8.1,2011-09-01 08:31:00 UTC,-73.9697,40.75671,-73.988,40.76477,1
39396724,38:00.0,9.7,2009-08-01 20:38:00 UTC,-73.9839,40.75533,-73.9964,40.7273,1
49487767,56:00.0,4.9,2009-09-30 15:56:00 UTC,-73.9783,40.75451,-73.9852,40.76298,3
